Series,Episode,Episode Title,Scene,Speaker,Dialogue
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,Is that why they sent you to boarding school?
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,"No, that was the result of my work with lasers."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,New neighbour?
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,Evidently.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,Significant improvement over the old neighbour.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,"Two hundred pound transvestite with a skin condition, yes she is."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Penny,"Oh, hi!"
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,Hi.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,Hi.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,Hi.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,Hi.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Penny,Hi?
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,"We don’t mean to interrupt, we live across the hall."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Penny,"Oh, that’s nice."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,"Oh… uh… no… we don’t live together… um… we live together but in separate, heterosexual bedrooms."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Penny,"Oh, okay, well, guess I’m your new neighbour, Penny."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,"Leonard, Sheldon."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Penny,Hi.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,Hi.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,Hi.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Penny,Hi.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,"Hi. Well, uh, oh, welcome to the building."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Penny,"Thankyou, maybe we can have coffee sometime."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,"Oh, great."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Penny,Great.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,Great.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,"Great. Well, bye."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Penny,Bye.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,Bye.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,Bye.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,Should we have invited her for lunch?
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,No. We’re going to start Season Two of Battlestar Galactica.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,We already watched the Season Two DVDs.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,Not with commentary.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,"I think we should be good neighbours, invite her over, make her feel welcome."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,We never invited Louis-slash-Louise over.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,"Well, then that was wrong of us. We need to widen our circle."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,I have a very wide circle. I have 212 friends on myspace.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,"Yes, and you’ve never met one of them."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,That’s the beauty of it.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,I’m going to invite her over. We’ll have a nice meal and chat.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,Chat? We don’t chat. At least not offline.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,"Well it’s not difficult, you just listen to what she says and then you say something appropriate in response."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,To what end?
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,Hi. Again.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Penny,Hi.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,Hi.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,Hi.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Penny,Hi.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,"Anyway, um. We brought home Indian food. And, um. I know that moving can be stressful, and I find that when I’m undergoing stress, that good food and company can have a comforting effect. Also, curry is a natural laxative, and I don’t have to tell you that, uh, a clean colon is just one less thing to worry about."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,"Leonard, I’m not expert here but I believe in the context of a luncheon invitation, you might want to skip the reference to bowel movements."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Penny,"Oh, you’re inviting me over to eat?"
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,"Uh, yes."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Penny,"Oh, that’s so nice, I’d love to."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Leonard,Great.
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Penny,"So, what do you guys do for fun around here?"
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,Sheldon,"Well, today we tried masturbating for money."
Series 01,Episode 01,Pilot Episode,The stairs of the apartment building.,,Credits sequence.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"Okay, well, make yourself at home."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"Okay, thankyou."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,You’re very welcome.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"This looks like some serious stuff, Leonard, did you do this?"
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,Actually that’s my work.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,Wow.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,"Yeah, well, it’s just some quantum mechanics, with a little string theory doodling around the edges. That part there, that’s just a joke, it’s a spoof of the Bourne-Oppenheimer approximation."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"So you’re like, one of those, beautiful mind genius guys."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,Yeah.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,This is really impressive.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"I have a board. If you like boards, this is my board."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,Holy smokes.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,"If by holy smokes you mean a derivative restatement of the kind of stuff you can find scribbled on the wall of any men’s room at MIT, sure."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,What?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,"Oh, come on. Who hasn’t seen this differential below “here I sit broken hearted?”"
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,At least I didn’t have to invent twenty-six dimensions just to make the math come out.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,"I didn’t invent them, they’re there."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,In what universe?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,"In all of them, that is the point."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"Uh, do you guys mind if I start?"
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,"Um, Penny, that’s where I sit."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"So, sit next to me."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,"No, I sit there."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,What’s the difference?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,What’s the difference?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,Here we go.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,"In the winter that seat is close enough to the radiator to remain warm, and yet not so close as to cause perspiration. In the summer it’s directly in the path of a cross breeze created by open windows there, and there. It faces the television at an angle that is neither direct, thus discouraging conversation, nor so far wide to create a parallax distortion, I could go on, but I think I’ve made my point."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,Do you want me to move?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,Well.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,Just sit somewhere else.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,"Fine.(Wanders in circles, looking lost.)"
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"Sheldon, sit!"
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,Aaah!
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,Well this is nice. We don’t have a lot of company over.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,That’s not true. Koothrapali and Wolowitz come over all the time.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"Yes I now, but…"
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,Tuesday night we played Klingon boggle until one in the morning.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"Yes, I remember."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,I resent you saying we don’t have company.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,I’m sorry.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,That is an antisocial implication.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,I said I’m sorry.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"So, Klingon boggle?"
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"Yeah, it’s like regular boggle but, in Klingon. That’s probably enough about us, tell us about you."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"Um, me, okay, I’m Sagittarius, which probably tells you way more than you need to know."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,"Yes, it tells us that you participate in the mass cultural delusion that the Sun’s apparent position relative to arbitrarily defined constellations and the time of your birth somehow effects your personality."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,Participate in the what?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"I think what Sheldon’s trying to say, is that Sagittarius wouldn’t have been our first guess."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"Oh, yeah, a lot of people think I’m a water sign. Okay, let’s see, what else, oh, I’m a vegetarian, oh, except for fish, and the occasional steak, I love steak."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,That’s interesting. Leonard can’t process corn.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"Wu-uh, do you have some sort of a job?"
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"Oh, yeah, I’m a waitress at the Cheesecake Factory."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"Oh, okay. I love cheesecake."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,You’re lactose intolerant.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"I don’t eat it, I just think it’s a good idea."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"Oh, anyways, I’m also writing a screenplay. It’s about this sensitive girl who comes to L.A. from Lincoln Nebraska to be an actress, and winds up a waitress at the Cheesecake Factory."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,So it’s based on your life?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"No, I’m from Omaha."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"Well, if that was a movie I would go see it."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"I know, right? Okay, let’s see, what else? Um, that’s about it. That’s the story of Penny."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,Well it sounds wonderful.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,It was. Until I fell in love with a jerk.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon(mouths),What’s happening.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard(mouths back),I don’t know.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"Oh God, you know, four years I lived with him, four years, that’s like as long as High School."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,It took you four years to get through High School?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,Don’t.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"I just, I can’t believe I trusted him."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,Should I say something? I feel like I should say something.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,"You? No, you’ll only make it worse."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"You want to know the most pathetic part? Even though I hate his lying, cheating guts, I still love him. Is that crazy?"
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,Yes.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"No, it’s not crazy it’s, uh, uh, it’s a paradox. And paradoxes are part of nature, think about light. Now if you look at Huygens, light is a wave, as confirmed by the double slit experiments, but then, along comes Albert Einstein and discovers that light behaves like particles too. Well, I didn’t make it worse."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"Oh, I’m so sorry, I’m such a mess, and on top of everything else I’m all gross from moving and my stupid shower doesn’t even work."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,Our shower works.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,Really? Would it be totally weird if I used it?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,Yes.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,No.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,No?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,No.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,No.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,It’s right down the hall.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,Thanks. You guys are really sweet.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,Well this is an interesting development.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,How so?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,It has been some time since we’ve had a woman take her clothes off in our apartment.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"That’s not true, remember at Thanksgiving my grandmother with Alzheimer’s had that episode."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,Point taken. It has been some time since we’ve had a woman take her clothes off after which we didn’t want to rip our eyes out.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,The worst part was watching her carve that turkey.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,"So, what exactly are you trying to accomplish here?"
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,Excuse me?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,That woman in there’s not going to have sex with you.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,Well I’m not trying to have sex with her.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,"Oh, good. Then you won’t be disappointed."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"What makes you think she wouldn’t have sex with me, I’m a male and she’s a female?"
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,"Yes, but not of the same species."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"I’m not going to engage in hypotheticals here, I’m just trying to be a good neighbour."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,"Oh, of course."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,That’s not to say that if a carnal relationship were to develop that I wouldn’t participate. However briefly.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,Do you think this possibility will be helped or hindered when she discovers your Luke Skywalker no-more-tears shampoo?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,It’s Darth Vader shampoo.(There is a knock on the door.)Luke Skywalker’s the conditioner.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Howard,Wait till you see this.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Raj,It’s fantastic. Unbelievable.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,See what?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Howard,It’s a Stephen Hawking lecture from MIT in 1974.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,This is not a good time.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Howard,It’s before he became a creepy computer voice:.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"That’s great, you guys have to go."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Raj,Why?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,It’s just not a good time.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,Leonard has a lady over.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Howard,"Yeah, right, your grandmother back in town?"
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"No. And she’s not a lady, she’s just a new neighbour."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Howard,"Hang on, there really is a lady here?"
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,Uh-huh.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Howard,And you want us out because you’re anticipating coitus?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,I’m not anticipating coitus.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Howard,So she’s available for coitus?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,Can we please stop saying coitus?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Sheldon,Technically that would be coitus interruptus.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,"Hey, is there a trick to getting it to switch from tub to shower. Oh. Hi, sorry. Hello!"
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Howard,"Enchante Madamoiselle. Howard Wolowitz, Cal-Tech department of Applied Physics. You may be familiar with some of my work, it’s currently orbiting Jupiter’s largest moon taking high-resolution digital photographs."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,Penny. I work at the Cheesecake Factory.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"Come on, I’ll show you the trick with the shower."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Howard,Bon douche.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Penny,I’m sorry?
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Howard,It’s French for good shower. It’s a sentiment I can express in six languages.
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Leonard,"Save it for your blog, Howard."
Series 01,Episode 01,Pilot Episode,Sheldon and Leonard’s apartment.,Howard,See-ka-tong-guay-jow.
Series 01,Episode 01,Pilot Episode,In the bathroom.,Leonard,"Uh, there it goes, it sticks, I’m sorry."
Series 01,Episode 01,Pilot Episode,In the bathroom.,Penny,Okay. Thanks.
Series 01,Episode 01,Pilot Episode,In the bathroom.,Leonard,"You’re welcome, oh, you’re going to step right, okay, I’ll…."
Series 01,Episode 01,Pilot Episode,In the bathroom.,Penny,"Hey, Leonard?"
Series 01,Episode 01,Pilot Episode,In the bathroom.,Leonard,The hair products are Sheldon’s.
Series 01,Episode 01,Pilot Episode,In the bathroom.,Penny,"Um, okay. Can I ask you a favour."
Series 01,Episode 01,Pilot Episode,In the bathroom.,Leonard,"A favour? Sure, you can ask me a favour, I would do you a favour for you."
Series 01,Episode 01,Pilot Episode,In the bathroom.,Penny,It’s okay if you say no.
Series 01,Episode 01,Pilot Episode,In the bathroom.,Leonard,"Oh, I’ll probably say yes."
Series 01,Episode 01,Pilot Episode,In the bathroom.,Penny,It’s just not the kind of thing you ask a guy you’ve just met.
Series 01,Episode 01,Pilot Episode,In the bathroom.,Leonard,Wow.
Series 01,Episode 01,Pilot Episode,"Leonard and Sheldon, Inside Leonard’s car",Sheldon,I really think we should examine the chain of causality here.
Series 01,Episode 01,Pilot Episode,"Leonard and Sheldon, Inside Leonard’s car",Leonard,Must we?
Series 01,Episode 01,Pilot Episode,"Leonard and Sheldon, Inside Leonard’s car",Sheldon,"Event A. A beautiful woman stands naked in our shower. Event B. We drive half way across town to retrieve a television set from the aforementioned woman’s ex-boyfriend. Query, on what plane of existence is there even a semi-rational link between these events?"
