Topic,Count,Name,Representation,Representative_Docs
11,47,11_driving_drive_bus_car,"['driving', 'drive', 'bus', 'car', 'homo', 'accident', 'stairs', 'didn try', 'seatbelts', 'thought game']","['No, no, this is a slippery slope, Leonard. It starts with a parking space, where does it end? It’s like my dad always said, first they say you can’t drink and drive, next thing you know, you can’t let your 10-year-old take the wheel while you sleep one off in the backseat.', 'Well, no, no, I’m not going to go so far as to say that I represent a distinct new stage in humankind, you know, a Homo Novus, if you will, no, that’s for anthropologists to decide. But I am convinced that the reason I cannot master the plebeian task of driving is because I’m not meant to.', 'Well, no, no, I’m not going to go so far as to say that I represent a distinct new stage in humankind, you know, a Homo Novus, if you will, no, that’s for anthropologists to decide. But I am convinced that the reason I cannot master the plebeian task of driving is because I’m not meant to.']"
12,47,12_friendship_friend_friends_current,"['friendship', 'friend', 'friends', 'current', 'benefits', 'happened', 'recent', 'longer', 'wide', 'cheap']","['Oh, that was wildly carcinogenic. Anyway, it’s too bad you’re no longer entitled to the full benefits of my friendship, because I happen to be extremely prepared for such an emergency. Please try not to see anything by this light. It’s not for you.', 'At this moment, our relationship exists in two mutually contradictory states. Until you either do not go or go to Wil Wheaton’s party, you are simultaneously my friend and not my friend. I’m characterizing this phenomenon as Schrodinger’s Friendship.', 'At this moment, our relationship exists in two mutually contradictory states. Until you either do not go or go to Wil Wheaton’s party, you are simultaneously my friend and not my friend. I’m characterizing this phenomenon as Schrodinger’s Friendship.']"
13,45,13_bathroom_pee_urine_barrier,"['bathroom', 'pee', 'urine', 'barrier', 'infection', 'increase', 'wetting', 'casually', 'shower moot', 'inhaler']","['I was using the bathroom.', 'Wait. Put this in the bathroom.', 'Wait. Put this in the bathroom.']"
14,45,14_command_wear_hats_star,"['command', 'wear', 'hats', 'star', 'red', 'star trek', 'trek', 'allowed', 'captain', 'hat']","['That sounds like sarcasm, but I’m going to disregard it, because I have an agenda. Paintball. Specifically, the interdepartmental tournament this weekend. Now, in order to function better as a fighting unit, I thought we should establish a chain of command. Now, it goes without saying that I would outrank the three of you, but the question remains, by how much? Now, I don’t see me as some four-star general, back at HQ riding a desk and playing golf with the Secretary of Defence. But I also can’t be Sergeant Cooper, because that might lead you to think of me as just a regular Joe. This might take some thought. As you were.', 'Just look. I’ve designed the perfect uniforms for our team. The colours are based on Star Trek, the original series. The three of you will wear support red, and I will wear command gold.', 'Just look. I’ve designed the perfect uniforms for our team. The colours are based on Star Trek, the original series. The three of you will wear support red, and I will wear command gold.']"
15,45,15_sound_noise_turn_imaginary,"['sound', 'noise', 'turn', 'imaginary', 'high', 'frequency', 'whistle', 'option', 'voice', 'canal']","['Before you leave, could you test these noise-cancelling headphones?', 'Evolution has made women sensitive to high pitched noises while they sleep, so that they’ll be roused by a crying baby. If you want to avoid waking her, speak in a lower register.', 'Evolution has made women sensitive to high pitched noises while they sleep, so that they’ll be roused by a crying baby. If you want to avoid waking her, speak in a lower register.']"
16,45,16_coming_click_come_don usually,"['coming', 'click', 'come', 'don usually', 'pick', 'greetings', 'right good', 'want say', 'respond', 'fine ll']","['Coming.', 'Come on. Click the mouse with me.', 'Come on. Click the mouse with me.']"
17,45,17_hello hello_hello_knock knock_knock,"['hello hello', 'hello', 'knock knock', 'knock', 'hi', 'hey', 'hi hello', '2003', 'greetings', 'buddy']","['Hello.', 'Hello.', 'Hello.']"
18,44,18_yes yes_yes_data_additional,"['yes yes', 'yes', 'data', 'additional', 'answer', 'believe', 'sup', '', '', '']","['Yes.', 'Yes.', 'Yes.']"
19,43,19_mother_mom_jesus_scientist,"['mother', 'mom', 'jesus', 'scientist', 'sides', 'smokes', 'okay yes', 'unspeakable', 'okay think', 'non human']","['All right, Mom. When you’re at the Ripley’s Believe It Or Not Museum, if they have an exhibit about a mother who threw away a chance to spend the day with the world’s most wonderful son, believe it, because it’s true. ', 'Oh, good. Hi, Mom. How are you? But, Mom, she keeps sitting in my spot. And, and she touched my food. Okay, yes, I took her clothes, but she started it. No, that’s not fair. Why should I have to apologize? Yeah, I really don’t think this is the kind of thing Jesus concerns himself with. No, you’re right, I don’t really know what Jesus thinks about. All right, good-bye. Did you tell on me?', 'Oh, good. Hi, Mom. How are you? But, Mom, she keeps sitting in my spot. And, and she touched my food. Okay, yes, I took her clothes, but she started it. No, that’s not fair. Why should I have to apologize? Yeah, I really don’t think this is the kind of thing Jesus concerns himself with. No, you’re right, I don’t really know what Jesus thinks about. All right, good-bye. Did you tell on me?']"
20,42,20_spock_human_partners_capybara,"['spock', 'human', 'partners', 'capybara', 'primates', 'cold', 'human beings', 'beings', 'male', 'evolved']","['It’s not what I want, it’s what evolution wants. Human beings are primates. Primates have evolved to live in groups, both for protection and support.', 'Clever, but also wrong. No, the best organism for human beings to merge with is the lichen itself. That way, you’d be human, fungus, and algae. Triple threat. Like three-bean salad.', 'Clever, but also wrong. No, the best organism for human beings to merge with is the lichen itself. That way, you’d be human, fungus, and algae. Triple threat. Like three-bean salad.']"
21,41,21_social convention_toast_convention_oven,"['social convention', 'toast', 'convention', 'oven', 'experiment', 'social', 'french', 'water', 'french toast', 'breakfast']","['Indeed. If I’m to participate in the social convention that is the stag night, then I must embrace all its components, including tobacco, swear words, and yes, alcohol. Jeepers! That’s yucky.', 'Hold on I believe that social convention dictate you not arrive empty-Handed. Would you like to bring some Cylon toast?', 'Hold on I believe that social convention dictate you not arrive empty-Handed. Would you like to bring some Cylon toast?']"
22,40,22_sheldon_sheldon cooper_cooper_brain,"['sheldon', 'sheldon cooper', 'cooper', 'brain', 'infinite', 'dr sheldon', 'sheldon don', 'bert', 'rule', 'cards']","['Sheldon is not going.', 'I’m Sheldon.', 'There is no more Sheldon, I am the Swordmaster!']"
23,39,23_future_time machine_machine_marty,"['future', 'time machine', 'machine', 'marty', 'travel', 'time', 'past', 'brought', 'near', 'ii']","['We have to get rid of the time machine.', 'Time machine.', 'Unlike Hot Tub Time Machine, this couldn’t be more simple. When Biff gets the almanac in 1955, the alternate future he creates isn’t the one in which Marty and Doc Brown ever use the time machine to travel to 2015. Therefore, in the new timeline, Marty and Doc never brought the time machine…']"
24,39,24_nope_hmm yes_coming_look,"['nope', 'hmm yes', 'coming', 'look', 'hmm', 'yes', '', '', '', '']","['Nope.', 'Nope. ', 'Nope.']"
25,39,25_married_living_brother_bride,"['married', 'living', 'brother', 'bride', 'marriage', 'romantic', 'years', 'fiancée', 'argument', 'worth ve']","['Y, No. I’m as much a part of this relationship as you two, and I think it’s high time we put all our cards on the table. For example, where is this going? Are you two ever getting married? And, if so, where will we all live? Have you thought about that?', 'To help. Look, if you fail at this relationship, and history suggests you will, then we risk losing the medical officer that our landing party has always needed.', 'To help. Look, if you fail at this relationship, and history suggests you will, then we risk losing the medical officer that our landing party has always needed.']"
26,38,26_conversation_discussion_decision_topic,"['conversation', 'discussion', 'decision', 'topic', 'subject', 'hours', 'open', 'set things', 'okay turn', 'checkmate']","['You brought up the subject. I contributed an interesting fact on that subject. It’s called the art of conversation. Okay, your turn.', 'Well, we could argue about who said what all night long, but to set things back on course, I will propose a new topic of conversation.', 'Well, we could argue about who said what all night long, but to set things back on course, I will propose a new topic of conversation.']"
27,38,27_best friend_best_appendix_leonard,"['best friend', 'best', 'appendix', 'leonard', 'friend', 'dinner', 'sitting', 'fowler leonard', 'greek food', 'organ']","['So this is how it ends, with cruel irony. Just as I make the commitment to preserving my body, I am betrayed by my appendix, a vestigial organ. Do you know the original purpose of the appendix, Leonard?', 'Leonard, you are my best friend. I’ve known you for seven years, and I can barely tolerate sitting on the couch with you. Imagine my attitude regarding prolonged physical proximity to Amy Farrah Fowler.', 'Leonard, you are my best friend. I’ve known you for seven years, and I can barely tolerate sitting on the couch with you. Imagine my attitude regarding prolonged physical proximity to Amy Farrah Fowler.']"
28,38,28_feeling better_pretty_feeling_report,"['feeling better', 'pretty', 'feeling', 'report', 'cheer', 'birds', 'wind', 'exhaustion', 'harp', 'occupied']","['How can I relax? My nervous system is being stretched out like the strings of a harp and plucked by holes and birds and wind and the low-hanging scrotum of the difficult-to-evict Professor Rothman.', 'Don’t be absurd. That’s in Washington. You know I could never live in a city whose streets are laid out in a wheel-and-spoke pattern. No. I’m going to find a similarly menial job where my basal ganglia are occupied with a routine task, freeing my prefrontal cortex to work quietly in the background on my problem.', 'Don’t be absurd. That’s in Washington. You know I could never live in a city whose streets are laid out in a wheel-and-spoke pattern. No. I’m going to find a similarly menial job where my basal ganglia are occupied with a routine task, freeing my prefrontal cortex to work quietly in the background on my problem.']"
29,37,29_batman_bat_stan_stan lee,"['batman', 'bat', 'stan', 'stan lee', 'lee', 'alfred', 'man', 'hulk', 'outdoors', 'clip']","['I have a question about Batman. Batman is a man who dresses up like a bat. Man-bat is a part man, part bat hybrid. Now, if Man-Bat dressed up as a man to fight crime, would he be Man-Batman?', 'You know, you’re right. Yeah. You know, it’s like when Stan Lee and Steve Ditko created Spider-Man. Stan Lee may get all the credit, but Steve Ditko knows he was just as important. Even though Stan Lee gets to be in all the Marvel movies. And. and he’s far richer. And he’s a household name, you know? Whereas, you know, you say Ditko, and that sounds like a company that makes Dits.', 'You know, you’re right. Yeah. You know, it’s like when Stan Lee and Steve Ditko created Spider-Man. Stan Lee may get all the credit, but Steve Ditko knows he was just as important. Even though Stan Lee gets to be in all the Marvel movies. And. and he’s far richer. And he’s a household name, you know? Whereas, you know, you say Ditko, and that sounds like a company that makes Dits.']"
30,36,30_hair_barber_haircut_coconut,"['hair', 'barber', 'haircut', 'coconut', 'oh oh', 'mr', 'head', 'corner', 'used', 'did hit']","['Yeah, I used coconut shavings to do the hair on his feet. If you need to void your bladder before eating, I can keep them warm with this beret that I thoroughly laundered and pressed into service as a pancake cosy.', 'He’s not a barber, he’s the nephew. He’s an example of the kind of nepotism that runs rampant in the barbering industry. Besides, Mr. D’Onofrio knows exactly how I like my hair done because he has all my haircut records from my barber in Texas.', 'He’s not a barber, he’s the nephew. He’s an example of the kind of nepotism that runs rampant in the barbering industry. Besides, Mr. D’Onofrio knows exactly how I like my hair done because he has all my haircut records from my barber in Texas.']"
31,35,31_amy_avocado_relationship_tedious,"['amy', 'avocado', 'relationship', 'tedious', 'relationship amy', 'plant', 'jealous', 've sent', 'want amy', 'finds']","['Thank you. I’ve also sent Amy a relationship termination notice and changed my cell phone number and e-mail address.', 'It has avocado on it. She’s allergic to avocado. Are you so jealous of our relationship you want Amy to die?', 'It has avocado on it. She’s allergic to avocado. Are you so jealous of our relationship you want Amy to die?']"
32,35,32_prize_win_nobel prize_nobel,"['prize', 'win', 'nobel prize', 'nobel', 'award', 'equally', 'ceremony', 'won', 'congratulations', 'streaming live']","['Nobel Prize acceptance ceremony streaming live from Stockholm.', 'Nobel Prize acceptance ceremony streaming live from Stockholm.', 'Well, you be sure to let us know when you win the Nobel Prize for boysenberry.']"
33,34,33_outrun_ll meet_backs_jersey,"['outrun', 'll meet', 'backs', 'jersey', 'bother', 'phone number', 'face face', 'text', 'respond', 'face']","['He didn’t respond to my e-mail, his phone number is unlisted. Tell me what my other option was.', 'He didn’t respond to my e-mail, his phone number is unlisted. Tell me what my other option was.', 'You actually had it right in the first place. Once again, you’ve fallen for one of my classic pranks. Bazinga! Well, now here’s a peculiar e-mail. The president of the university wants me to meet him at his office tomorrow morning at 8 a.m.']"
34,34,34_course course_course_ll say_statistically speaking,"['course course', 'course', 'll say', 'statistically speaking', 'guess', 'statistically', 'absolutely', 'hardly', 'speaking', 'possibly']","['Of course.', 'Well, statistically speaking…', 'Well, statistically speaking…']"
35,34,35_leonard leonard_vote_leonard_leonard wrong,"['leonard leonard', 'vote', 'leonard', 'leonard wrong', 'leonard day', 'opposed', 'right let', 'unlikely', 'hands', 'meemaw']","['Leonard? Leonard?', ' Leonard?Leonard?', ' Leonard?Leonard?']"
36,34,36_stephen_play play_friends_anymore,"['stephen', 'play play', 'friends', 'anymore', 'play', 'professor', 'paper', 'local', 'wrote paper', 'beating']","['Stephen Hawking hates me.', 'Then suffer in silence. Play. Play. Play. Stephen Hawking. Stephen Hawking. Stephen Hawking.', 'Then suffer in silence. Play. Play. Play. Stephen Hawking. Stephen Hawking. Stephen Hawking.']"
37,33,37_frankly ve_watch 24_going make_doomed,"['frankly ve', 'watch 24', 'going make', 'doomed', 'watch', 've meaning', 'make exception', 'don watch', 'exception', '24']","['As well you should. But I’m going to make an exception here.', 'I don’t watch you 24 hours a day. I don’t know what you do.', 'I don’t watch you 24 hours a day. I don’t know what you do.']"
38,33,38_secret_okay okay_okay_yes oh,"['secret', 'okay okay', 'okay', 'yes oh', 'excited', 'fine okay', 'fine', 'don just', 'just tell', 'funeral']","['That I wouldn’t tell you the secret. Shhhhh!', 'You know I can’t keep a secret.', 'You know I can’t keep a secret.']"
39,33,39_meant_career_apology_respect,"['meant', 'career', 'apology', 'respect', 'apologize', 'just said', 'apologise', 'admire', 'putting', 'slightly']","['I understand. Either way, I want you to know that I’m aware of how difficult I can be. So I just want to say thank you for putting up with me.', 'Before you begin, let me say again how deeply sorry I am for my earlier behaviour and how much I respect and admire your leadership.', 'Before you begin, let me say again how deeply sorry I am for my earlier behaviour and how much I respect and admire your leadership.']"
40,32,40_people interested_trying people_negative reinforcement_attract attention,"['people interested', 'trying people', 'negative reinforcement', 'attract attention', 'tricking', 'pointing', 'trying', 'reinforcement', 'interested', 'kind thing']","['If you let me use negative reinforcement, I can get it done before we go to bed.', 'Oh, please, I was just pointing it out. I have no desire to engage in the activity.', 'Oh, please, I was just pointing it out. I have no desire to engage in the activity.']"
41,32,41_room_people don_hotel_hall,"['room', 'people don', 'hotel', 'hall', 'living room', 'hallway', 'outside', 'living', 'friends like', 'adjacent']","['No, this is my room. People don’t go in my room.', 'I had no choice. I couldn’t sleep knowing that just outside my bedroom was our living room, and just outside our living room was that hallway, and immediately adjacent to that hallway was… this.', 'I had no choice. I couldn’t sleep knowing that just outside my bedroom was our living room, and just outside our living room was that hallway, and immediately adjacent to that hallway was… this.']"
42,32,42_wars_star wars_darth_vader,"['wars', 'star wars', 'darth', 'vader', 'darth vader', 'ranch', 'wars day', 'star', 'sheets', 'stars']","['But, that’s Star Wars Day.', 'Yeah, we’re going to have to stop by Pottery Barn on the way to work, I bought these Star Wars sheets but they turned out to be much too stimulating to be compatible with a good night’s sleep. I don’t like the way Darth Vader stares at me.', 'Yeah, we’re going to have to stop by Pottery Barn on the way to work, I bought these Star Wars sheets but they turned out to be much too stimulating to be compatible with a good night’s sleep. I don’t like the way Darth Vader stares at me.']"
43,31,43_songs_heaven_write_dr seuss,"['songs', 'heaven', 'write', 'dr seuss', 'moral', 'badge', 'directed', 'superior', 'joss whedon', 'joss']","['You know, the German philosopher, Friedrich Nietzsche, believed that morality is just a fiction used by the herd of inferior human beings to hold back the few superior men.', 'That’s your badge of honour, your warrior’s wound, if you will. I was wrong, minstrels will write songs about you.', 'That’s your badge of honour, your warrior’s wound, if you will. I was wrong, minstrels will write songs about you.']"
44,30,44_flash_flash drive_windows_forgot,"['flash', 'flash drive', 'windows', 'forgot', 'project', 'halo', 'drive', 'mario', 'duty', 'nintendo']","['You forgot your flash drive, You forgot your flash drive ', 'I forgot my flash drive.', 'You forgot your flash drive, You forgot your flash drive ']"
45,30,45_thirty_sleep_rem_entirely,"['thirty', 'sleep', 'rem', 'entirely', 'caused', 'clock', 'achieving', 'guilty', 'telling time', 'emotional turmoil']","['Isn’t it five thirty in the morning there?', 'Oh. Well, so the emotional turmoil that’s been keeping me from achieving REM sleep was entirely unjustified?', 'Oh. Well, so the emotional turmoil that’s been keeping me from achieving REM sleep was entirely unjustified?']"
46,30,46_pants_wearing_wallet_modern,"['pants', 'wearing', 'wallet', 'modern', 'phone wallet', 'previously', 'million', 'corporate', 'struggles', 'dine']","['Not in these pants.', 'They are pants one wears over one’s regular pants when one sits on bus seats that other people have previously sat on. But perhaps from your lofty heights atop the corporate ladder, you’ve lost touch with the struggles of the common man.', 'They are pants one wears over one’s regular pants when one sits on bus seats that other people have previously sat on. But perhaps from your lofty heights atop the corporate ladder, you’ve lost touch with the struggles of the common man.']"
47,30,47_hmm_hmm hmm_uh huh_comment,"['hmm', 'hmm hmm', 'uh huh', 'comment', 'goody', 'aha', 'uh oh', 'huh', 'mm', 'aw']","['Hmm.', 'Hmm. You do get me. Someone left a comment.', 'Hmm. You do get me. Someone left a comment.']"
48,30,48_train_station_engineer_hot dog,"['train', 'station', 'engineer', 'hot dog', 'model', 'happen', 'hug', 'weak minded', 'horrible', 'junior']","['You could make it a train room.', 'He rejected train day.', 'It’d be swell if they had a train.']"
49,29,49_television_wii_bowling_21,"['television', 'wii', 'bowling', '21', 'pixels', 'dead pixels', 'raiders lost', 'lost ark', 'know good', 'ark']","['Raiders of the Lost Ark, with 21 additional seconds. If I can’t see it, no one else can see it.', 'Raj’s television. I just realized we’re about to spend an evening watching a plasma screen with a cluster of dead pixels in the upper left-hand corner.', 'Raj’s television. I just realized we’re about to spend an evening watching a plasma screen with a cluster of dead pixels in the upper left-hand corner.']"
50,29,50_star trek_trek_star_babylon,"['star trek', 'trek', 'star', 'babylon', 'appear', 'deep space', 'original series', 'characters', 'trek original', 'fails']","['Look at that, that’s a dent. Thank you, Howard Ham-Fisted Wolowitz. Did you just shut the TV off in the middle of the classic Deep Space Nine/Star Trek The Original Series Trouble With Tribbles crossover episode?', 'A moment ago, when you turned off the TV in the middle of }during the classic Deep Space Nine/Star Trek The Original Series Trouble With Tribbles crossover episode. Would you like some advice?', 'A moment ago, when you turned off the TV in the middle of }during the classic Deep Space Nine/Star Trek The Original Series Trouble With Tribbles crossover episode. Would you like some advice?']"
51,29,51_sour_clickety_clickety clack_wheels,"['sour', 'clickety', 'clickety clack', 'wheels', 'polished', 'steel', 'clack', 'didn think', 'handle', 'choose']","['Well, if I didn’t think you could handle it, I wouldn’t be asking.', 'Here. I’m hoping once you reap the endorphic rewards of the steady clickety-clack of steel wheels on polished rails, your sour disposition will abate.', 'Here. I’m hoping once you reap the endorphic rewards of the steady clickety-clack of steel wheels on polished rails, your sour disposition will abate.']"
52,28,52_going going_going_need come_ambiguous,"['going going', 'going', 'need come', 'ambiguous', 'denver', 'going oh', 'chicago', 'uh need', 'oh going', 'somewhat']","['Uh, I’m in Kingman, Arizona, and, uh, I need you to come pick me up.', 'That’s a somewhat ambiguous response. Am I going or not?', 'That’s a somewhat ambiguous response. Am I going or not?']"
53,28,53_pop_pop pop_football_lincoln,"['pop', 'pop pop', 'football', 'lincoln', 'ogre', 'kick', 'texas', 'hand', 'skeleton', 'thanksgiving']","['I grew up in Texas. Football is ubiquitous in Texas. Pro football, college football, high school football, peewee football, in fact, every form of football except the original, European football, which most Texans believe to be a Commie plot.', 'Pop-Pop was the only one in my family who encouraged me to pursue science. But you didn’t bring him back, did you? No, instead, I got Lincoln Logs. Well, you can build a lot of neat things out of Lincoln Logs, but Pop-Pop ain’t one of ’em. And now you’re here asking me for something, to save you. Well, sorry, Mr. Kringle, but today’s not your day. I’m leaving you here to rot, and I hope the ogres feast on your bones. I take the skeleton key, and I toss it into the chasm, and on the way out, I give Santa a swift kick in his bowl full of jelly!', 'Pop-Pop was the only one in my family who encouraged me to pursue science. But you didn’t bring him back, did you? No, instead, I got Lincoln Logs. Well, you can build a lot of neat things out of Lincoln Logs, but Pop-Pop ain’t one of ’em. And now you’re here asking me for something, to save you. Well, sorry, Mr. Kringle, but today’s not your day. I’m leaving you here to rot, and I hope the ogres feast on your bones. I take the skeleton key, and I toss it into the chasm, and on the way out, I give Santa a swift kick in his bowl full of jelly!']"
54,28,54_winter_worms_heat_looked,"['winter', 'worms', 'heat', 'looked', 'frozen', 'brightly shone', 'fuel', 'snow', 'air yes', 'shone moon']","['Brightly shone the moon that night, though the frost was cruel. When a poor man came in sight gathering winter fuel.', 'If I could, I would, but I can’t, so I shan’t. Now, knowing Penny, the obvious answer is, they engaged in coitus. But, since that’s what it looked like, we can rule that out. Let’s put on our thinking cap, shall we? Raj is from India, a tropical country. Third World hygiene. Parasitic infections are common, such as pinworms. Mm-hmm. The procedure for diagnosing pinworms is to wait until the subject is asleep, and the worms crawl out of the rectum for air. Yes, just like that. Penny could have been inspecting Raj’s anal region for parasites. Oh, boy. That’s a true blue friend.', 'If I could, I would, but I can’t, so I shan’t. Now, knowing Penny, the obvious answer is, they engaged in coitus. But, since that’s what it looked like, we can rule that out. Let’s put on our thinking cap, shall we? Raj is from India, a tropical country. Third World hygiene. Parasitic infections are common, such as pinworms. Mm-hmm. The procedure for diagnosing pinworms is to wait until the subject is asleep, and the worms crawl out of the rectum for air. Yes, just like that. Penny could have been inspecting Raj’s anal region for parasites. Oh, boy. That’s a true blue friend.']"
55,27,55_raj_principle_mug_know doing,"['raj', 'principle', 'mug', 'know doing', 'qualities', 'dollar', 'states', 'greatest', 'intelligent', 'doing']","['See if Raj is done with Pilates.', 'Well, then Raj and I will…', 'And Raj.']"
56,27,56_know good_ask ask_reason_ask,"['know good', 'ask ask', 'reason', 'ask', 'good', 'know', '', '', '', '']","['Ask me why.', 'Give me one good reason why not.', 'Give me one good reason why not.']"
57,27,57_smell_blood_pudding_haggis,"['smell', 'blood', 'pudding', 'haggis', 'essentially', 'serves', 'stomach', 'potatoes', 'thing don', 'blueberry']","['But what if he does? I’ll be obliged to dine on liver and lungs stuffed in a sheep’s stomach. And frankly, blood pudding is essentially the same thing. I don’t know why he’s serving both.', 'Does it smell like blueberries?', 'Does it smell like blueberries?']"
58,27,58_leaving_walking_leave_kick,"['leaving', 'walking', 'leave', 'kick', 'door', 'guess ll', 'logic', 'want leave', 'let try', 'dictates']","['I don’t know. You’ll have to devise a scenario that plausibly explains my absence, keeping in mind that the key to a good lie lies in the details.', 'All right. Well, given that missing you is predicated on you leaving, logic dictates you must leave.', 'All right. Well, given that missing you is predicated on you leaving, logic dictates you must leave.']"
59,27,59_did say_say say_say did_wait did,"['did say', 'say say', 'say did', 'wait did', 'say', 'reference', 'wait wait', 'wait', 'did', '']","['What did he say?', 'What did they say?', 'What did they say?']"
